Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
WABC,Westamerica Bank,Financials,Regional Banks,"San Rafael, California",311094
WAFD,"WaFd, Inc.",Financials,Regional Banks,"Seattle, Washington",936528
WD,"Walker & Dunlop, Inc.",Financials,Commercial & Residential Mortgage Finance,"Bethesda, Maryland",1497770
WDFC,WD-40 Company,Consumer Staples,Household Products,"San Diego, California",105132
WERN,Werner Enterprises,Industrials,Cargo Ground Transportation,"Omaha, Nebraska",793074
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers,"Eden Prairie, Minnesota",107687
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",1699136
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,"Doral, Florida",789460
WLY,John Wiley & Sons,Communication Services,Publishing,"Hoboken, New Jersey",107140
WOLF,Wolfspeed,Information Technology,Semiconductors,"Research Triangle Park, North Carolina",895419
WOR,Worthington Enterprises,Industrials,Building Products,"Columbus, Ohio",108516
WRLD,World Acceptance Corporation,Financials,Consumer Finance,"Greenville, South Carolina",108385
WS,Worthington Steel,Materials,Steel,"Columbus, Ohio",1968487
WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies,"Phoenix, Arizona",1647088
WSFS,WSFS Financial Corporation,Financials,Regional Banks,"Wilmington, Delaware",828944
WSR,Whitestone REIT,Real Estate,Retail REITs,"Houston, Texas",1175535
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",880631
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,"Rockford, Michigan",110471
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Orlando, Florida",1616000
XNCR,Xencor Inc,Health Care,Biotechnology,"Pasadena, California",1326732
XPEL,"XPEL, Inc.",Consumer Discretionary,Auto Parts & Equipment,"San Antonio, Texas",1767258
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",1770450
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",1345016
YOU,"Clear Secure, Inc.",Information Technology,Application Software,"New York City, New York",1856314
ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",1084048
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee, Wisconsin",1439288
