Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
KNX,Knight-Swift,Industrials,Cargo Ground Transportation,"Phoenix, Arizona"
KRC,Kilroy Realty Corp,Real Estate,Office REITs,
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,
LAD,Lithia Motors,Consumer Discretionary,Automotive Retail,"Medford, Oregon"
LAMR,Lamar Advertising Company,Real Estate,Other Specialized REITs,"Baton Rouge, Louisiana"
LANC,Lancaster Colony Corp,Consumer Staples,Packaged Foods & Meats,
LEA,Lear,Consumer Discretionary,Automotive Parts & Equipment,"Southfield, Michigan"
LECO,Lincoln Electric,Industrials,Industrial Machinery & Supplies & Components,"Euclid, Ohio"
LFUS,Littelfuse,Information Technology,Electronic Components,"Chicago, Illinois"
LITE,Lumentum Holdings,Information Technology,Communications Equipment,"San Jose, California"
LIVN,LivaNova,Health Care,Health Care Equipment,"Houston, Texas"
LNTH,Lantheus Holdings,Health Care,Health Care Supplies,
LNW,Light & Wonder,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services,"Phoenix, Arizona"
LPX,Louisiana-Pacific,Materials,Forest Products,"Nashville, Tennessee"
LSCC,Lattice Semiconductor,Information Technology,Semiconductors,"Hillsboro, Oregon"
LSTR,Landstar System,Industrials,Cargo Ground Transportation,"Jacksonville, Florida"
M,Macy's,Consumer Discretionary,Broadline Retail,"New York City, New York"
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,"Milwaukee, Wisconsin"
MANH,Manhattan Associates,Information Technology,Application Software,"Atlanta, Georgia"
MASI,Masimo,Health Care,Health Care Equipment,"Irvine, California"
MAT,Mattel,Consumer Discretionary,Leisure Products,"El Segundo, California"
MEDP,Medpace,Health Care,Biotechnology,"Cincinnati, Ohio"
MIDD,Middleby,Industrials,Industrial Machinery & Supplies & Components,"Elgin, Illinois"
MKSI,MKS Instruments,Information Technology,Semiconductor Materials & Equipment,"Andover, Massachusetts"
MLI,Mueller Industries,Industrials,Industrial Machinery & Supplies & Components,"Collierville, Tennessee"
MMS,Maximus Inc.,Industrials,Data Processing & Outsourced Services,"Tysons, Virginia"
MORN,"Morningstar, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois"
MSA,MSA Safety,Industrials,Office Services & Supplies,"Cranberry Township, Pennsylvania"
MSM,MSC Industrial Direct,Industrials,Trading Companies & Distributors,"Melville, New York Davidson, North Carolina"
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,"Dallas, Texas"
MTG,MGIC Investment Corporation,Financials,Reinsurance,"Milwaukee, Wisconsin"
MTN,Vail Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Broomfield, Colorado"
MTSI,MACOM Technology Solutions,Information Technology,Semiconductors,"Lowell, Massachusetts"
MTZ,MasTec,Industrials,Construction & Engineering,"Coral Gables, Florida"
MUR,Murphy Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
MUSA,Murphy USA,Consumer Discretionary,Automotive Retail,"El Dorado, Arkansas"
NBIX,Neurocrine Biosciences,Health Care,Biotechnology,"San Diego, California"
NEU,NewMarket Corporation,Materials,Specialty Chemicals,"Richmond, Virginia"
NFG,National Fuel Gas,Utilities,Gas Utilities,"Williamsville, New York"
NJR,New Jersey Resources,Utilities,Gas Utilities,"Wall Township, New Jersey"
NLY,Annaly Capital Management,Financials,Mortgage REITs,"New York City, New York"
NNN,NNN Reit,Real Estate,Retail REITs,"Orlando, Florida"
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
NOVT,Novanta,Information Technology,Electronic Equipment & Instruments,
NSA,National Storage Affiliates Trust,Real Estate,Self-Storage REITs,
NSP,Insperity,Industrials,Human Resource & Employment Services,"Houston, Texas"
NVST,Envista Holdings,Health Care,Health Care Supplies,
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment,
NWE,NorthWestern Corporation,Utilities,Multi-Utilities,"Sioux Falls, South Dakota"
NXST,Nexstar Media Group,Communication Services,Movies & Entertainment,"Irving, Texas"
NXT,Nextracker,Industrials,Electrical Components & Equipment,"Fremont, California"
NYT,New York Times Company,Communication Services,Publishing,"New York City, New York"
OC,Owens Corning,Industrials,Building Products,"Toledo, Ohio"
OGE,OGE Energy,Utilities,Multi-Utilities,"Oklahoma City, Oklahoma"
OGS,ONE Gas,Utilities,Gas Utilities,"Tulsa, Oklahoma"
OHI,Omega Healthcare Investors,Real Estate,Health Care REITs,
OKTA,"Okta, Inc.",Information Technology,Application Software,"San Francisco, California"
OLED,Universal Display,Information Technology,Semiconductors,"Ewing, New Jersey"
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,Broadline Retail,"Harrisburg, Pennsylvania"
OLN,Olin Corporation,Materials,Diversified Chemicals,"Clayton, Missouri"
ONB,Old National Bank,Financials,Regional Banks,"Evansville, Indiana"
