Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
BURL,Burlington,Consumer Discretionary,Apparel Retail,"Burlington, New Jersey"
BWXT,BWX Technologies,Industrials,Aerospace & Defense,"Lynchburg, Virginia"
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
CACI,CACI International,Industrials,Diversified Support Services,"Reston, Virginia"
CADE,Cadence Bank,Financials,Regional Banks,"Tupelo, Mississippi Houston, Texas"
CAR,Avis Budget Group,Industrials,Passenger Ground Transportation,"Parsippany, New Jersey"
CART,Maplebear Inc.,Consumer Staples,Food Retail,"San Francisco, California"
CASY,Casey's General Stores,Consumer Staples,Food Retail,"Ankeny, Iowa"
CAVA,Cava Group,Consumer Discretionary,Restaurants,"Washington, D.C."
CBSH,Commerce Bancshares,Financials,Regional Banks,"Kansas City, Missouri"
CBT,Cabot Corp,Materials,Diversified Chemicals,"Boston, Massachusetts"
CCK,Crown Holdings,Materials,Paper & Plastic Packaging Products & Materials,"Yardley, Pennsylvania"
CDP,COPT Defense Properties,Real Estate,Office REITs,"Columbia, Maryland"
CELH,Celsius Holdings,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Boca Raton, Florida"
CFR,Frost Bank,Financials,Regional Banks,"San Antonio, Texas"
CG,Carlyle Group,Financials,Asset Management & Custody Banks,"Washington, D.C."
CGNX,Cognex,Information Technology,Electronic Equipment & Instruments,"Natick, Massachusetts"
CHDN,Churchill Downs Inc.,Consumer Discretionary,Casinos & Gaming,"Louisville, Kentucky"
CHE,Chemed Corp.,Health Care,Health Care Services,"Cincinnati, Ohio"
CHH,Choice Hotels,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Rockville, Maryland"
CHRD,Chord Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CHWY,Chewy,Consumer Discretionary,Other Specialty Retail,"Plantation, Florida"
CHX,ChampionX,Energy,Oil & Gas Equipment & Services,"The Woodlands, Texas"
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland"
CIVI,Civitas Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
CLF,Cleveland-Cliffs,Materials,Steel,"Cleveland, Ohio"
CLH,Clean Harbors,Industrials,Environmental & Facilities Services,"Norwell, Massachusetts"
CMA,Comerica,Financials,Regional Banks,"Dallas, Texas"
CMC,Commercial Metals,Materials,Steel,"Irving, Texas"
CNH,CNH Industrial,Industrials,Agricultural & Farm Machinery,"Amsterdam, Netherlands"
CNM,Core & Main,Industrials,Trading Companies & Distributors,"St. Louis, Missouri"
CNO,CNO Financial Group,Financials,Life & Health Insurance,"Carmel, Indiana"
CNX,CNX Resources,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
CNXC,Concentrix,Industrials,Data Processing & Outsourced Services,"Newark, California"
COHR,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania"
COKE,Coca-Cola Consolidated,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Charlotte, North Carolina"
COLB,Columbia Banking System,Financials,Regional Banks,"Tacoma, Washington"
COLM,Columbia Sportswear,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Portland, Oregon"
COTY,Coty,Consumer Staples,Personal Care Products,"New York City, New York"
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
CR,Crane,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
CROX,Crocs,Consumer Discretionary,Footwear,"Broomfield, Colorado"
CRS,Carpenter Technology,Materials,Steel,"Philadelphia, Pennsylvania"
CRUS,Cirrus Logic,Information Technology,Semiconductors,"Austin, Texas"
CSL,Carlisle Companies,Industrials,Industrial Conglomerates,"Phoenix, Arizona"
CUBE,CubeSmart,Real Estate,Industrial REITs,"Malvern, Pennsylvania"
CUZ,Cousins Properties,Real Estate,Office REITs,"Atlanta, Georgia"
CVLT,CommVault Systems,Information Technology,Systems Software,"Tinton Falls, New Jersey"
CW,Curtiss-Wright,Industrials,Aerospace & Defense,"Davidson, North Carolina"
CXT,Crane NXT,Information Technology,Electronic Equipment & Instruments,"Stamford, Connecticut"
CYTK,Cytokinetics,Health Care,Biotechnology,"South San Francisco, California"
DAR,Darling Ingredients,Consumer Staples,Agricultural Products & Services,
DBX,Dropbox,Information Technology,Application Software,"San Francisco, California"
DCI,Donaldson Company,Industrials,Industrial Machinery & Supplies & Components,"Bloomington, Minnesota"
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores,"Coraopolis, Pennsylvania"
DLB,Dolby,Information Technology,Application Software,"San Francisco, California"
DOCS,Doximity,Health Care,Health Care Technology,"San Francisco, California"
DOCU,Docusign,Information Technology,Application Software,"San Francisco, California"
DT,Dynatrace,Information Technology,Application Software,"Waltham, Massachusetts"
DTM,DT Midstream,Energy,Oil & Gas Storage & Transportation,"Detroit, Michigan"
DUOL,Duolingo,Consumer Discretionary,Education Services,"Pittsburgh, Pennsylvania"
EEFT,Euronet Worldwide,Financials,Transaction & Payment Processing Services,"Leawood, Kansas"
EGP,EastGroup Properties,Real Estate,Industrial REITs,
EHC,Encompass Health,Health Care,Health Care Facilities,"Birmingham, Alabama"
ELF,e.l.f. Beauty,Consumer Staples,Personal Care Products,"Oakland, California"
ELS,Equity Lifestyle Properties,Real Estate,Single-Family Residential REITs,"Chicago, Illinois"
EME,Emcor,Industrials,Construction & Engineering,"Norwalk, Connecticut"
ENS,EnerSys,Industrials,Electrical Components & Equipment,"Reading, Pennsylvania"
ENSG,Ensign Group,Health Care,Health Care Facilities,"San Juan Capistrano, California"
ENTG,Entegris,Information Technology,Semiconductor Materials & Equipment,"Billerica, Massachusetts"
EPR,EPR Properties,Real Estate,Other Specialized REITs,"Kansas City, Missouri"
EQH,Equitable Holdings,Financials,Diversified Financial Services,"New York City, New York"
ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components,"North Bethesda, Maryland"
